Name,Qualification,Specialization,Link
Dr. Rajesh Gupta,"MBBS, MD, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rajesh-gupta-gastroenterologist
Dr. S. Janarthan Babu,"MBBS, MD, DNB ((Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-s-janarthan-babu-medical-oncologist
Dr. Sujatha Kandi,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-sujatha-kandi-gynaecologist
Dr. Zaheer Nabi,"MBBS, MD, DNB (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-zaheer-nabi-gastroenterologist
Ms. Pendem Mounika,M Sc (Nutrition),Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/ms-pendem-mounika-nutritionist-dietitian
Dr. D.Vidyasagar,"MBBS, DNB (ENT), DLO",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-d-vidyasagar-ent-surgeon
Ms. Sowmya Balasubramaniam,"M Sc, ADA ( Diabetes)",Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/ms-sowmya-balasubramaniam-nutritionist-dietitian
Dr. Divya Swetha,"MBBS, DNB (OBG), DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-divya-swetha-gynaecologist
Dr. Krishna Moorthy,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-krishna-moorthy-plastic-surgeon
Dr. R. Sujit Kumar Vakati,"MBBS, MS, MCh (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-r-sujit-kumar-vakati-orthopaedic-surgeon
Dr. Ramu Ankam,"MBBS, PGDCC",Clinical Cardiologist,skedoc.com/hyderabad/doctor/dr-ramu-ankam-clinical-cardiologist
Dr. Sreedevi Meesala,"MBBS, DFM (RCGP.UK) - Medvarsity (Family Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-sreedevi-meesala-general-physician
Ms. Lakshmi Tejasvi Madala,M Sc (Nutrition),Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/ms-lakshmi-tejasvi-madala-nutritionistdietitian
Dr. A.Ashwini,"MBBS, MD (OBG), DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-a-ashwini-gynaecologist
Dr. Abhirama Chandra Gabbita,"MBBS, MCh (Neurosurgery), DNB",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-abhirama-chandra-gabbita-neuro-surgeon
Dr. Arun Kumar Donakonda,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-arun-kumar-donakonda-nephrologist
Dr. Ashwini Annam,"MBBS, MD, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-ashwini-annam-gynaecologist
Dr. Avinash Nalluri,"MBBS,  MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-avinash-nalluri-ent-surgeon
Dr. Deepak Koppaka,"MBBS, MD (RT), DM (Medical Onco)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-deepak-koppaka-medical-oncologist
Dr. G. V. Somayajulu,"MBBS, DNB (General Surgery), FIAGES",General Surgeon,skedoc.com/hyderabad/doctor/dr-g-v-somayajulu-general-surgeon
Dr. J. Rajendra Kumar,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-j-rajendra-kumar-cardiologist
Dr. K. Anusha Chowdary,"MBBS, MS (OBG), MRCOG, FMAS, FRM",Gynaecologist,skedoc.com/hyderabad/doctor/dr-k-anusha-chowdary-gynaecologist
Dr. Kalyan Varma Uddaraju,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-kalyan-varma-uddaraju-urologist
Dr. Manasa Mynepally,"MBBS, MD, DM (Endocrinology)",Endocrinologist,skedoc.com/hyderabad/doctor/dr-manasa-mynepally-endocrinologist
Dr. Markandeya Akurathi,"MBBS, DNB (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-markandeya-akurathi-general-physician
Dr. N Murali Krishna,"MBBS, M Ch (Paediatric Surgery)",Paediatric Surgeon,skedoc.com/hyderabad/doctor/dr-n-murali-krishna-paediatric-surgeon
Dr. Naren Bollineni,"MBBS, MS, DNB (Surgical Oncology)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-naren-bollineni-surgical-oncologist
Dr. Naveen Chettupalli,"MBBS, DNB (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-naveen-chettupalli-paediatrician
Dr. Nithin Kondapuram,"MBBS, DPM, M Sc ( Neuro Psychiatric Epidemiology)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-nithin-kondapuram-psychiatrist
Dr. P. Vijayendra Raju,"MBBS, MD (Pulmonology)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-p-vijayendra-raju-pulmonologist
Dr. Paul Naveen M,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-paul-naveen-m-urologist
Dr. Prasad Neelam,"MBBS, MS, MCh (Surgical Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-prasad-neelam-surgical-gastroenterologist
Dr. Sreedhar Reddy Anne,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-sreedhar-reddy-anne-orthopaedic-surgeon
Dr. Sudheer Pachipala,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-sudheer-pachipala-neurologist
Dr. Surendra Ugale,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-surendra-ugale-general-surgeon
Dr. Sushma Peruri,"MBBS, MS (General Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-sushma-peruri-general-surgeon
Dr. Swaroop Chandra Sudnagunta,"MBBS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-swaroop-chandra-sudnagunta-orthopaedic-surgeon
Dr. Talacheru Srinivasulu,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-talacheru-srinivasulu-general-physician
Dr. Venkata Sriram Gutta,"MBBS, D Ch, DNB, FIAP",Neonatologist,skedoc.com/hyderabad/doctor/dr-venkata-sriram-gutta-neonatologist
Sriharsha Tikka,Rhinololgy and Skull base surgeon,ENT Surgeon,skedoc.com/hyderabad/doctor/sriharsha-tikka-ent-surgeon
Dr. Prof Tom Cherian,"MBBS, FRCS, FRCS (HPB Surgery), CCST",Liver Transplant Surgeon,skedoc.com/hyderabad/doctor/dr-prof-tom-cherian-liver-transplant-surgeon
